,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,has_availability,instant_bookable
3689,Manuela,2019-09-23,"Andalucía, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$97.00,t,t
3690,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire serviced apartment,Entire home/apt,$129.00,t,t
3691,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in hostel,Private room,$89.00,t,f
3692,Jan,2016-01-30,"Copenhagen, Denmark",within a few hours,100%,100%,t,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$120.00,t,f
3693,Loyd,2014-11-29,"Tavira, Portugal",within a day,50%,67%,f,Santa Maria dos Olivais,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Camper/RV,Entire home/apt,$140.00,t,f
3694,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,100%,f,Santa Maria dos Olivais,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$136.00,t,t
3695,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,98%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$145.00,t,t
3696,David,2012-04-09,"Malaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$86.00,t,t
3697,Ester Maria,2023-02-28,"Málaga, Spain",within a few hours,100%,88%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$55.00,t,f
3698,Stay In,2021-09-09,"Málaga, Spain",within an hour,97%,87%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$90.00,t,t
3699,Irene,2018-05-15,"Málaga, Spain",within an hour,97%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$159.00,t,f
3700,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$160.00,t,t
3701,Stay In,2021-09-09,"Andalucía, Spain",within an hour,97%,87%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$63.00,t,f
3702,Aline,2013-09-24,"Málaga, Spain",within a few hours,100%,60%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$98.00,t,f
3703,Shanti,2019-10-29,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in home,Private room,$98.00,t,t
3704,Silvia,2019-02-26,"Andalusia, Spain",within an hour,100%,99%,t,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire loft,Entire home/apt,$126.00,t,f
3705,Tomas,2018-12-06,"Cali, Colombia",within a few hours,69%,0%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in condo,Private room,$42.00,t,f
3706,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$61.00,t,f
3707,David,2012-04-09,"Malaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$61.00,t,t
3708,Claudia,2024-02-20,"Malaga, Spain",within an hour,89%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$130.00,t,t
3709,Valentina E Lorenzo,2014-01-27,Italy,within an hour,100%,96%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$168.00,t,f
3710,Albert,2019-07-20,"Málaga, Spain",within an hour,96%,98%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$110.00,t,t
3711,Toni,2023-02-20,"Málaga, Spain",within an hour,100%,99%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$174.00,t,t
3712,Biljana,2018-07-17,"Toussus-le-Noble, France",within an hour,100%,93%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$149.00,t,f
3713,Ana,2024-02-26,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$54.00,t,t
3714,Luis,2016-04-21,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$461.00,t,f
3715,Dv,2019-08-02,"Málaga, Spain",within a few hours,100%,86%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$180.00,t,f
3716,Patricia,2018-03-25,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$136.00,t,t
3717,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$429.00,t,f
3718,Silvia,2019-02-26,"Andalusia, Spain",within an hour,100%,99%,t,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$127.00,t,f
3719,Ángela,2024-02-10,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$140.00,t,t
3720,Alquiler Vacacional,2019-06-28,"Andalusia, Spain",within an hour,94%,98%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$96.00,t,t
3721,"Isabel, Gloria Y Francisco",2015-01-11,"Andalusia, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$113.00,t,t
3722,Malaga Center Flat,2013-08-31,"Málaga, Spain",within an hour,98%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$94.00,t,t
3723,Alquiler Vacacional,2019-06-28,"Andalusia, Spain",within an hour,94%,98%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$88.00,t,t
3724,Cristina,2016-06-21,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$138.00,t,t
3725,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$138.00,t,t
3726,Adrian,2018-06-20,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",f,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$97.00,t,f
3727,Pilar,2017-08-06,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$94.00,t,t
3728,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$111.00,t,t
3729,Álvaro,2014-11-05,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$167.00,t,t
3730,Daniel,2013-07-06,"Madrid, Spain",within an hour,100%,99%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$82.00,t,t
3731,Javier,2017-02-08,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Room in aparthotel,Private room,$98.00,t,t
3732,Marcelino,2019-11-08,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Entire rental unit,Entire home/apt,$81.00,t,t
3733,Kaz,2018-07-31,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$71.00,t,f
3734,Eva,2019-01-20,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$264.00,t,t
3735,Eva,2019-01-20,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$102.00,t,t
3736,Javier,2021-06-17,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$129.00,t,f
3737,Eva,2019-01-20,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$199.00,t,t
3738,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$321.00,t,f
3739,Africa,2016-09-16,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$200.00,t,t
3740,Daniel,2024-02-02,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,f,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$214.00,t,f
3741,Gema Y Pablo,2012-01-13,"Malaga, Spain",within an hour,100%,76%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$122.00,t,f
3742,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$157.00,t,t
3743,Eva,2019-01-20,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$172.00,t,t
3744,Claudia,2024-02-20,"Andalusia, Spain",within an hour,89%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$100.00,t,t
3745,Fabio,2015-12-28,"Andalusia, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$147.00,t,f
3746,Maria Palma,2014-01-15,"Málaga, Spain",within an hour,100%,99%,t,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$180.00,t,f
3747,Maria,2021-10-19,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,f,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$140.00,t,t
3748,Eli,2016-01-21,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$111.00,t,f
3749,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$321.00,t,f
3750,Agustin,2022-03-31,"Málaga, Spain",within a few hours,93%,100%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$204.00,t,t
3751,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$160.00,t,t
3752,Ascensión,2021-11-09,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$99.00,t,f
3753,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$191.00,t,t
3754,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$194.00,t,t
3755,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire serviced apartment,Entire home/apt,$149.00,t,t
3756,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire serviced apartment,Entire home/apt,$270.00,t,t
3757,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,98%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$70.00,t,t
3758,Luis Vicente,2014-02-02,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$96.00,t,f
3759,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$191.00,t,t
3760,Eva,2019-01-20,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$152.00,t,t
3761,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$153.00,t,t
3762,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$183.00,t,t
3763,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$141.00,t,t
3764,Julia Zenczewska,2023-12-26,"Málaga, Spain",within an hour,100%,52%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$104.00,t,f
3765,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$208.00,t,t
3766,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,98%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$184.00,t,t
3767,René,2023-03-14,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$495.00,t,t
3768,Kuki,2016-03-17,"Torremolinos, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$350.00,t,t
3769,Holidu,2024-03-22,"Palma, Spain",within an hour,100%,100%,f,Mijas Costa,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$82.00,t,t
3770,Javier,2011-05-31,"England, United Kingdom",within a day,100%,46%,t,Mijas Costa,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire condo,Entire home/apt,$199.00,t,f
3771,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,Mijas Costa,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$58.00,t,f
3772,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,Mijas Costa,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$63.00,t,f
3773,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$209.00,t,t
3774,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$180.00,t,t
3775,Renthas Hospitality,2019-12-12,"Málaga, Spain",within an hour,93%,100%,f,Urbanización Cortijo de Nagüeles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$214.00,t,t
3776,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,Urbanización Cortijo de Nagüeles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$399.00,t,f
3777,Julia Zenczewska,2023-12-26,"Málaga, Spain",within an hour,100%,52%,f,Urbanización Cortijo de Nagüeles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$137.00,t,f
3778,Mariano,2016-11-07,"Ramos Mejía, Argentina",within an hour,94%,97%,f,Urbanización Cortijo de Nagüeles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$141.00,t,t
3779,René,2023-03-14,"Ramos Mejía, Argentina",within an hour,100%,100%,f,Urbanización Cortijo de Nagüeles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$199.00,t,t
3780,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,98%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$183.00,t,t
3781,Fernando,2022-07-01,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$86.00,t,t
3782,Carolina,2014-12-05,"Málaga, Spain",within a few hours,99%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$30.00,t,f
3783,Carolina,2014-12-05,"Málaga, Spain",within a few hours,99%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Private room in rental unit,Private room,$33.00,t,f
3784,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$58.00,t,f
3785,Stay In,2021-09-09,"Málaga, Spain",within an hour,97%,87%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$63.00,t,f
3786,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$59.00,t,f
3787,Rafael,2014-06-05,"Málaga, Spain",within an hour,97%,82%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Private room in rental unit,Private room,$21.00,t,f
3788,Alfonso,2011-08-25,"Malaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalusia, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$59.00,t,f
3789,Paca,2017-01-15,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalusia, Spain",Carretera de Cadiz,Private room in home,Private room,$70.00,t,f
3790,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$116.00,t,t
3791,Francisco,2016-01-21,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, AL, Spain",Este,Entire guesthouse,Entire home/apt,$165.00,t,f
3792,Karolyd,2023-03-25,"Málaga, Spain",within an hour,100%,97%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Private room in rental unit,Private room,$55.00,t,f
3793,Suite Homes,2014-12-22,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Churriana,Entire rental unit,Entire home/apt,$69.00,t,t
3794,Mercedes,2016-03-22,"Andalusia, Spain",within an hour,100%,92%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in home,Private room,$29.00,t,f
3795,Maria,2014-01-30,"Madrid, Spain",within an hour,94%,100%,t,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire chalet,Entire home/apt,$187.00,t,t
3796,Liana,2022-07-03,"Málaga, Spain",within a few hours,96%,81%,t,Argüelles,['phone'],t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Private room in rental unit,Private room,$38.00,t,f
3797,Javier,2017-02-08,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$95.00,t,t
3798,Juan José,2019-04-09,"Málaga, Spain",within an hour,100%,0%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Churriana,Entire home,Entire home/apt,$124.00,t,f
3799,Bernardo,2024-06-06,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,['phone'],f,t,"Málaga, Andalucía, Spain",Churriana,Entire home,Entire home/apt,$486.00,t,f
3800,Ivan,2017-07-26,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Churriana,Entire condo,Entire home/apt,$69.00,t,f
3801,Sharing,2021-04-15,"Málaga, Spain",within an hour,98%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$174.00,t,t
3802,Aras,2015-06-23,Spain,within a day,71%,36%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Puerto de la Torre,Private room in home,Private room,$44.00,t,f
3803,Maria,2014-01-30,"Madrid, Spain",within an hour,94%,100%,t,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire guesthouse,Entire home/apt,$99.00,t,t
3804,Leonardo,2018-11-04,"Málaga, Spain",within an hour,94%,100%,f,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$21.00,t,t
3805,Beatriz,2020-09-21,"Málaga, Spain",within an hour,100%,93%,f,Argüelles,['phone'],t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$104.00,t,f
3806,Antonio,2022-03-31,"Andalusia, Spain",within an hour,100%,100%,t,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$134.00,t,f
3807,Rafael,2014-06-05,"Málaga, Spain",within an hour,97%,82%,f,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Private room in rental unit,Private room,$21.00,t,f
3808,Jose Carlos,2015-05-11,"Andalusia, Spain",within a few hours,100%,84%,f,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Private room in rental unit,Private room,$26.00,t,f
3809,R.U Sto Tomas,2014-06-11,"Málaga, Spain",within an hour,100%,100%,f,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Entire rental unit,Entire home/apt,$54.00,t,t
3810,Juan M,2015-04-03,"Málaga, Spain",within an hour,100%,99%,t,Argüelles,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$70.00,t,t
3811,Ro,2023-12-02,"Málaga, Spain",within an hour,100%,66%,t,Argüelles,"['email', 'phone']",f,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$17.00,t,f
3812,Andra,2023-04-01,"Málaga, Spain",within an hour,100%,99%,f,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$122.00,t,t
3813,Holidu,2019-08-14,"Madrid, Spain",within an hour,100%,99%,f,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$70.00,t,t
3814,Belen,2016-08-31,"Madrid, Spain",within an hour,100%,100%,t,Argüelles,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$204.00,t,t
3815,María José,2017-06-20,"Andalusia, Spain",within an hour,100%,83%,f,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Private room in rental unit,Private room,$50.00,t,f
3816,Rafael,2014-06-05,"Málaga, Spain",within an hour,97%,82%,f,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Private room in rental unit,Private room,$23.00,t,f
3817,Sunset Málaga Apartments,2019-02-21,"Málaga, Spain",within an hour,100%,100%,f,Argüelles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$107.00,t,t
3818,Laura,2024-03-04,"Málaga, Spain",within an hour,100%,80%,f,Argüelles,"['email', 'phone']",f,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Entire rental unit,Entire home/apt,$131.00,t,t
3819,Ro,2023-12-02,"Málaga, Spain",within an hour,100%,66%,t,Argüelles,"['email', 'phone']",f,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$21.00,t,f
3820,Taras,2015-10-11,"Málaga, Spain",within an hour,100%,100%,f,Argüelles,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Palma-Palmilla,Private room in rental unit,Private room,$37.00,t,f
